,Bloque,Tema GSI,Clasificación,Contenido oficial resumido,Temas A1 / PreparaTIC,Cómo usarlo,Relevancia supuesto,Carpeta fuente A1,Mapeo A2→A1,Convocatoria vigente
10,II,II.01,COMPUESTO,"Computadores, escalabilidad, altas prestaciones y cloud",052 + 054 + 055 (+053),"Buen banco técnico, pero hay que recortar A1 y actualizar cloud.",Alta,https://drive.google.com/drive/folders/1ZKWNPMANbzf3bDFxLSjbkEPhiMn2yvl8,https://preparadorestic.es/2024/07/12/a2-2024-mapeo-temas-estrategia-de-estudio-y-analisis-oep-2022/,https://www.boe.es/diario_boe/txt.php?id=BOE-A-2025-26262
11,II,II.02,COMPUESTO,"Sistemas operativos Windows, Linux, Unix y móviles",059 + 060 + 061 + 062,"Cobertura amplia. Priorizar conceptos, administración básica y diferencias.",Alta,https://drive.google.com/drive/folders/1ZKWNPMANbzf3bDFxLSjbkEPhiMn2yvl8,https://preparadorestic.es/2024/07/12/a2-2024-mapeo-temas-estrategia-de-estudio-y-analisis-oep-2022/,https://www.boe.es/diario_boe/txt.php?id=BOE-A-2025-26262
12,II,II.03,COMPLEMENTAR,Lenguajes y paradigmas de programación,Sin correspondencia A1 suficiente,Carencia clara del banco A1. Crear apuntes GSI específicos.,Media,https://drive.google.com/drive/folders/1ZKWNPMANbzf3bDFxLSjbkEPhiMn2yvl8,https://preparadorestic.es/2024/07/12/a2-2024-mapeo-temas-estrategia-de-estudio-y-analisis-oep-2022/,https://www.boe.es/diario_boe/txt.php?id=BOE-A-2025-26262
13,II,II.04,COMPUESTO,"BI, cuadros de mando, DSS/EIS, DW, OLTP/OLAP",072 + 075 + 033 (+076),"Combinar BI, explotación y arquitectura de datos.",Alta,https://drive.google.com/drive/folders/1ZKWNPMANbzf3bDFxLSjbkEPhiMn2yvl8,https://preparadorestic.es/2024/07/12/a2-2024-mapeo-temas-estrategia-de-estudio-y-analisis-oep-2022/,https://www.boe.es/diario_boe/txt.php?id=BOE-A-2025-26262
14,II,II.05,DIRECTO,"ANSI/SPARC, modelo relacional, SGBD, SQL e interoperabilidad",063 + 064,Correspondencia muy buena. Evitar profundidad A1 que exceda GSI.,Alta,https://drive.google.com/drive/folders/1ZKWNPMANbzf3bDFxLSjbkEPhiMn2yvl8,https://preparadorestic.es/2024/07/12/a2-2024-mapeo-temas-estrategia-de-estudio-y-analisis-oep-2022/,https://www.boe.es/diario_boe/txt.php?id=BOE-A-2025-26262
15,II,II.06,DIRECTO,"Cliente-servidor, multicapa, multidispositivo e interoperabilidad de componentes",058,SOA y arquitecturas distribuidas encajan bien con el tema GSI.,Muy alta,https://drive.google.com/drive/folders/1ZKWNPMANbzf3bDFxLSjbkEPhiMn2yvl8,https://preparadorestic.es/2024/07/12/a2-2024-mapeo-temas-estrategia-de-estudio-y-analisis-oep-2022/,https://www.boe.es/diario_boe/txt.php?id=BOE-A-2025-26262
16,II,II.07,COMPUESTO,"Contenedores y microservicios: despliegue, monitorización y escalado",065 + 097 + 100 + 132,Tema moderno y práctico. Añadir Docker/Kubernetes/observabilidad actuales.,Muy alta,https://drive.google.com/drive/folders/1ZKWNPMANbzf3bDFxLSjbkEPhiMn2yvl8,https://preparadorestic.es/2024/07/12/a2-2024-mapeo-temas-estrategia-de-estudio-y-analisis-oep-2022/,https://www.boe.es/diario_boe/txt.php?id=BOE-A-2025-26262
17,II,II.08,COMPUESTO,"TCP/IP y OSI: capas, protocolos, direccionamiento y routing",109 + 111 + 115,Base sólida. Reforzar subnetting y routing para test.,Alta,https://drive.google.com/drive/folders/1ZKWNPMANbzf3bDFxLSjbkEPhiMn2yvl8,https://preparadorestic.es/2024/07/12/a2-2024-mapeo-temas-estrategia-de-estudio-y-analisis-oep-2022/,https://www.boe.es/diario_boe/txt.php?id=BOE-A-2025-26262
18,II,II.09,DIRECTO,"SGML, HTML, XML y lenguajes de script",077,Correspondencia directa y suficiente como base.,Media,https://drive.google.com/drive/folders/1ZKWNPMANbzf3bDFxLSjbkEPhiMn2yvl8,https://preparadorestic.es/2024/07/12/a2-2024-mapeo-temas-estrategia-de-estudio-y-analisis-oep-2022/,https://www.boe.es/diario_boe/txt.php?id=BOE-A-2025-26262
19,II,II.10,DIRECTO,Análisis y gestión de riesgos,047,Muy reutilizable; enlazar con ENS y seguridad.,Muy alta,https://drive.google.com/drive/folders/1ZKWNPMANbzf3bDFxLSjbkEPhiMn2yvl8,https://preparadorestic.es/2024/07/12/a2-2024-mapeo-temas-estrategia-de-estudio-y-analisis-oep-2022/,https://www.boe.es/diario_boe/txt.php?id=BOE-A-2025-26262
20,II,II.11,COMPUESTO,"Auditoría informática: ENS, datos y seguridad física",038 + 047 + 048,"Combina auditoría, riesgos y seguridad. Útil también para supuesto.",Muy alta,https://drive.google.com/drive/folders/1ZKWNPMANbzf3bDFxLSjbkEPhiMn2yvl8,https://preparadorestic.es/2024/07/12/a2-2024-mapeo-temas-estrategia-de-estudio-y-analisis-oep-2022/,https://www.boe.es/diario_boe/txt.php?id=BOE-A-2025-26262
21,II,II.12,COMPUESTO,"Atención al usuario, contact center, CRM, IVR y VoiceXML",072 + 077,Cobertura parcial; completar conceptos específicos de contact center/IVR.,Media,https://drive.google.com/drive/folders/1ZKWNPMANbzf3bDFxLSjbkEPhiMn2yvl8,https://preparadorestic.es/2024/07/12/a2-2024-mapeo-temas-estrategia-de-estudio-y-analisis-oep-2022/,https://www.boe.es/diario_boe/txt.php?id=BOE-A-2025-26262
22,II,II.13,COMPUESTO,"Seguridad, ciberseguridad, incidentes y forense",125 + 126 + 127,"Muy importante. Actualizar marco CCN-CERT, amenazas y respuesta a incidentes.",Muy alta,https://drive.google.com/drive/folders/1ZKWNPMANbzf3bDFxLSjbkEPhiMn2yvl8,https://preparadorestic.es/2024/07/12/a2-2024-mapeo-temas-estrategia-de-estudio-y-analisis-oep-2022/,https://www.boe.es/diario_boe/txt.php?id=BOE-A-2025-26262
23,II,II.14,COMPUESTO,"Software libre/propietario, licencias, protección jurídica y DRM",069 + 043,Buen encaje. Revisar tipos de licencia y propiedad intelectual.,Media,https://drive.google.com/drive/folders/1ZKWNPMANbzf3bDFxLSjbkEPhiMn2yvl8,https://preparadorestic.es/2024/07/12/a2-2024-mapeo-temas-estrategia-de-estudio-y-analisis-oep-2022/,https://www.boe.es/diario_boe/txt.php?id=BOE-A-2025-26262
24,II,II.15,COMPUESTO,"Alternativas, viabilidad, presupuestación y control de costes",040 + 099 + 035 + 036 (+041),Muy útil para supuesto y preguntas de gestión.,Muy alta,https://drive.google.com/drive/folders/1ZKWNPMANbzf3bDFxLSjbkEPhiMn2yvl8,https://preparadorestic.es/2024/07/12/a2-2024-mapeo-temas-estrategia-de-estudio-y-analisis-oep-2022/,https://www.boe.es/diario_boe/txt.php?id=BOE-A-2025-26262
25,II,II.16,COMPUESTO,"Gestión documental/contenidos, workflow, búsqueda, SEO y colaboración",104 + 105,Tema amplio. Seleccionar conceptos GSI y evitar exceso de producto/herramienta.,Alta,https://drive.google.com/drive/folders/1ZKWNPMANbzf3bDFxLSjbkEPhiMn2yvl8,https://preparadorestic.es/2024/07/12/a2-2024-mapeo-temas-estrategia-de-estudio-y-analisis-oep-2022/,https://www.boe.es/diario_boe/txt.php?id=BOE-A-2025-26262
26,III,III.01,DIRECTO,Ciclo de vida de los sistemas de información,086,Correspondencia directa.,Alta,https://drive.google.com/drive/folders/1ZKWNPMANbzf3bDFxLSjbkEPhiMn2yvl8,https://preparadorestic.es/2024/07/12/a2-2024-mapeo-temas-estrategia-de-estudio-y-analisis-oep-2022/,https://www.boe.es/diario_boe/txt.php?id=BOE-A-2025-26262
27,III,III.02,COMPUESTO,Gestión y planificación del desarrollo; metodologías,088 + 037; 095 solo apoyo,La convocatoria vigente ya no menciona Métrica expresamente; no priorizar A1 095.,Muy alta,https://drive.google.com/drive/folders/1ZKWNPMANbzf3bDFxLSjbkEPhiMn2yvl8,https://preparadorestic.es/2024/07/12/a2-2024-mapeo-temas-estrategia-de-estudio-y-analisis-oep-2022/,https://www.boe.es/diario_boe/txt.php?id=BOE-A-2025-26262
28,III,III.03,COMPUESTO,"Requisitos: elicitación, análisis y especificación",088 + 094 + 091,Muy útil para análisis de supuestos y modelado.,Muy alta,https://drive.google.com/drive/folders/1ZKWNPMANbzf3bDFxLSjbkEPhiMn2yvl8,https://preparadorestic.es/2024/07/12/a2-2024-mapeo-temas-estrategia-de-estudio-y-analisis-oep-2022/,https://www.boe.es/diario_boe/txt.php?id=BOE-A-2025-26262
29,III,III.04,DIRECTO,"Modelado de datos, diseño relacional, normalización y concurrencia",063 + 064,Correspondencia muy buena.,Muy alta,https://drive.google.com/drive/folders/1ZKWNPMANbzf3bDFxLSjbkEPhiMn2yvl8,https://preparadorestic.es/2024/07/12/a2-2024-mapeo-temas-estrategia-de-estudio-y-analisis-oep-2022/,https://www.boe.es/diario_boe/txt.php?id=BOE-A-2025-26262
30,III,III.05,COMPLEMENTAR,"TAD, estructuras, ficheros, algoritmos e IA básica",070 + 071 + 076,Faltan TAD/algoritmos con profundidad adecuada; crear material específico.,Media,https://drive.google.com/drive/folders/1ZKWNPMANbzf3bDFxLSjbkEPhiMn2yvl8,https://preparadorestic.es/2024/07/12/a2-2024-mapeo-temas-estrategia-de-estudio-y-analisis-oep-2022/,https://www.boe.es/diario_boe/txt.php?id=BOE-A-2025-26262
31,III,III.06,COMPLEMENTAR,"Construcción, código, despliegue, CI/DevOps, documentación y formación",097 + 102,"El A1 cubre fragmentos, pero no todo el tema actual. Complementar DevOps moderno.",Muy alta,https://drive.google.com/drive/folders/1ZKWNPMANbzf3bDFxLSjbkEPhiMn2yvl8,https://preparadorestic.es/2024/07/12/a2-2024-mapeo-temas-estrategia-de-estudio-y-analisis-oep-2022/,https://www.boe.es/diario_boe/txt.php?id=BOE-A-2025-26262
32,III,III.07,DIRECTO,Pruebas de software,096,Correspondencia directa y con abundante material.,Muy alta,https://drive.google.com/drive/folders/1ZKWNPMANbzf3bDFxLSjbkEPhiMn2yvl8,https://preparadorestic.es/2024/07/12/a2-2024-mapeo-temas-estrategia-de-estudio-y-analisis-oep-2022/,https://www.boe.es/diario_boe/txt.php?id=BOE-A-2025-26262
33,III,III.08,COMPLEMENTAR,"Instalación, gestión de cambios, postimplantación y mantenimiento",101 + 100,"Hay base, pero el enfoque GSI requiere síntesis específica.",Alta,https://drive.google.com/drive/folders/1ZKWNPMANbzf3bDFxLSjbkEPhiMn2yvl8,https://preparadorestic.es/2024/07/12/a2-2024-mapeo-temas-estrategia-de-estudio-y-analisis-oep-2022/,https://www.boe.es/diario_boe/txt.php?id=BOE-A-2025-26262
34,III,III.09,DIRECTO,"Orientación a objetos, Proceso Unificado, UML y patrones",089 + 090 + 093 (+092),Cobertura excelente; muy aprovechable en supuestos.,Muy alta,https://drive.google.com/drive/folders/1ZKWNPMANbzf3bDFxLSjbkEPhiMn2yvl8,https://preparadorestic.es/2024/07/12/a2-2024-mapeo-temas-estrategia-de-estudio-y-analisis-oep-2022/,https://www.boe.es/diario_boe/txt.php?id=BOE-A-2025-26262
35,III,III.10,DIRECTO,Java / Jakarta EE,067,Correspondencia directa; actualizar terminología Java EE→Jakarta EE.,Alta,https://drive.google.com/drive/folders/1ZKWNPMANbzf3bDFxLSjbkEPhiMn2yvl8,https://preparadorestic.es/2024/07/12/a2-2024-mapeo-temas-estrategia-de-estudio-y-analisis-oep-2022/,https://www.boe.es/diario_boe/txt.php?id=BOE-A-2025-26262
36,III,III.11,DIRECTO,Plataforma .NET,066,Correspondencia directa como base; revisar .NET moderno.,Alta,https://drive.google.com/drive/folders/1ZKWNPMANbzf3bDFxLSjbkEPhiMn2yvl8,https://preparadorestic.es/2024/07/12/a2-2024-mapeo-temas-estrategia-de-estudio-y-analisis-oep-2022/,https://www.boe.es/diario_boe/txt.php?id=BOE-A-2025-26262
37,III,III.12,COMPUESTO,"Aplicaciones web: front, servidor, servicios e internacionalización",065 (+058),Buen material base; actualizar stack web actual sin memorizar productos de moda.,Muy alta,https://drive.google.com/drive/folders/1ZKWNPMANbzf3bDFxLSjbkEPhiMn2yvl8,https://preparadorestic.es/2024/07/12/a2-2024-mapeo-temas-estrategia-de-estudio-y-analisis-oep-2022/,https://www.boe.es/diario_boe/txt.php?id=BOE-A-2025-26262
38,III,III.13,DIRECTO,Calidad del software,103,A1 103 es la fuente actual correcta. No usar la ampliación A1 050 del mapeo de 2024: en tus PUBLICADOS actuales es Organizaciones Internacionales.,Alta,https://drive.google.com/drive/folders/1ZKWNPMANbzf3bDFxLSjbkEPhiMn2yvl8,https://preparadorestic.es/2024/07/12/a2-2024-mapeo-temas-estrategia-de-estudio-y-analisis-oep-2022/,https://www.boe.es/diario_boe/txt.php?id=BOE-A-2025-26262
39,III,III.14,COMPUESTO,"Accesibilidad, usabilidad, UX y guía de comunicación digital",044 + 094 + 133,Actualizar WCAG/UNE y guía estatal vigente.,Muy alta,https://drive.google.com/drive/folders/1ZKWNPMANbzf3bDFxLSjbkEPhiMn2yvl8,https://preparadorestic.es/2024/07/12/a2-2024-mapeo-temas-estrategia-de-estudio-y-analisis-oep-2022/,https://www.boe.es/diario_boe/txt.php?id=BOE-A-2025-26262
40,III,III.15,COMPUESTO,"Minería de datos, OLAP, Big Data, Hadoop y NoSQL",075,A1 075 es base; complementar Hadoop/NoSQL y arquitecturas actuales.,Alta,https://drive.google.com/drive/folders/1ZKWNPMANbzf3bDFxLSjbkEPhiMn2yvl8,https://preparadorestic.es/2024/07/12/a2-2024-mapeo-temas-estrategia-de-estudio-y-analisis-oep-2022/,https://www.boe.es/diario_boe/txt.php?id=BOE-A-2025-26262
41,IV,IV.01,COMPLEMENTAR,Administración de sistemas operativos y software base,059,El A1 no profundiza lo suficiente en administración. Necesita material GSI específico.,Muy alta,https://drive.google.com/drive/folders/1ZKWNPMANbzf3bDFxLSjbkEPhiMn2yvl8,https://preparadorestic.es/2024/07/12/a2-2024-mapeo-temas-estrategia-de-estudio-y-analisis-oep-2022/,https://www.boe.es/diario_boe/txt.php?id=BOE-A-2025-26262
42,IV,IV.02,COMPLEMENTAR,Administración de SGBD,063,El A1 de SGBD es conceptual; falta operación/administración.,Muy alta,https://drive.google.com/drive/folders/1ZKWNPMANbzf3bDFxLSjbkEPhiMn2yvl8,https://preparadorestic.es/2024/07/12/a2-2024-mapeo-temas-estrategia-de-estudio-y-analisis-oep-2022/,https://www.boe.es/diario_boe/txt.php?id=BOE-A-2025-26262
43,IV,IV.03,COMPUESTO,"Mantenimiento, incidencias, backup y recuperación",101 + 105 + 056,Buen material disperso; unirlo en un tema GSI operativo.,Muy alta,https://drive.google.com/drive/folders/1ZKWNPMANbzf3bDFxLSjbkEPhiMn2yvl8,https://preparadorestic.es/2024/07/12/a2-2024-mapeo-temas-estrategia-de-estudio-y-analisis-oep-2022/,https://www.boe.es/diario_boe/txt.php?id=BOE-A-2025-26262
44,IV,IV.04,COMPLEMENTAR,"Configuración, cambios, versiones, automatización, monitorización y capacidad",100,A1 insuficiente para todo el alcance. Completar observabilidad y automatización.,Muy alta,https://drive.google.com/drive/folders/1ZKWNPMANbzf3bDFxLSjbkEPhiMn2yvl8,https://preparadorestic.es/2024/07/12/a2-2024-mapeo-temas-estrategia-de-estudio-y-analisis-oep-2022/,https://www.boe.es/diario_boe/txt.php?id=BOE-A-2025-26262
45,IV,IV.05,COMPUESTO,"Almacenamiento: arquitectura, protocolos y virtualización",056 + 057,Buen material técnico; reforzar SAN/NAS/protocolos y almacenamiento virtualizado.,Alta,https://drive.google.com/drive/folders/1ZKWNPMANbzf3bDFxLSjbkEPhiMn2yvl8,https://preparadorestic.es/2024/07/12/a2-2024-mapeo-temas-estrategia-de-estudio-y-analisis-oep-2022/,https://www.boe.es/diario_boe/txt.php?id=BOE-A-2025-26262
46,IV,IV.06,COMPUESTO,"CPD: dimensionamiento, virtualización, HA, balanceo y recuperación",057 + 053 + 132 + 128,Muy útil para supuesto de arquitectura física.,Muy alta,https://drive.google.com/drive/folders/1ZKWNPMANbzf3bDFxLSjbkEPhiMn2yvl8,https://preparadorestic.es/2024/07/12/a2-2024-mapeo-temas-estrategia-de-estudio-y-analisis-oep-2022/,https://www.boe.es/diario_boe/txt.php?id=BOE-A-2025-26262
47,IV,IV.07,COMPUESTO,Medios de transmisión y cableado,108 + 110 + 112,Cobertura adecuada combinando varios temas.,Alta,https://drive.google.com/drive/folders/1ZKWNPMANbzf3bDFxLSjbkEPhiMn2yvl8,https://preparadorestic.es/2024/07/12/a2-2024-mapeo-temas-estrategia-de-estudio-y-analisis-oep-2022/,https://www.boe.es/diario_boe/txt.php?id=BOE-A-2025-26262
48,IV,IV.08,DIRECTO,Redes LAN,118 + 119,Correspondencia alta.,Alta,https://drive.google.com/drive/folders/1ZKWNPMANbzf3bDFxLSjbkEPhiMn2yvl8,https://preparadorestic.es/2024/07/12/a2-2024-mapeo-temas-estrategia-de-estudio-y-analisis-oep-2022/,https://www.boe.es/diario_boe/txt.php?id=BOE-A-2025-26262
49,IV,IV.09,COMPUESTO,"Administración LAN: usuarios, dispositivos, tráfico y SNMP",118 + 119,La parte de administración necesita selección y complemento SNMP.,Alta,https://drive.google.com/drive/folders/1ZKWNPMANbzf3bDFxLSjbkEPhiMn2yvl8,https://preparadorestic.es/2024/07/12/a2-2024-mapeo-temas-estrategia-de-estudio-y-analisis-oep-2022/,https://www.boe.es/diario_boe/txt.php?id=BOE-A-2025-26262
50,IV,IV.10,COMPUESTO,"WAN: WDM, MPLS, SD-WAN y encaminamiento",113 + 108 (+120),Revisar tecnologías actuales y SD-WAN.,Alta,https://drive.google.com/drive/folders/1ZKWNPMANbzf3bDFxLSjbkEPhiMn2yvl8,https://preparadorestic.es/2024/07/12/a2-2024-mapeo-temas-estrategia-de-estudio-y-analisis-oep-2022/,https://www.boe.es/diario_boe/txt.php?id=BOE-A-2025-26262
51,IV,IV.11,DIRECTO,Redes inalámbricas,114,Correspondencia directa como base.,Alta,https://drive.google.com/drive/folders/1ZKWNPMANbzf3bDFxLSjbkEPhiMn2yvl8,https://preparadorestic.es/2024/07/12/a2-2024-mapeo-temas-estrategia-de-estudio-y-analisis-oep-2022/,https://www.boe.es/diario_boe/txt.php?id=BOE-A-2025-26262
52,IV,IV.12,COMPUESTO,"Seguridad de red, perímetro, acceso, criptografía, VPN y puesto",125 + 079 + 080 (+131),Muy transversal y práctico.,Muy alta,https://drive.google.com/drive/folders/1ZKWNPMANbzf3bDFxLSjbkEPhiMn2yvl8,https://preparadorestic.es/2024/07/12/a2-2024-mapeo-temas-estrategia-de-estudio-y-analisis-oep-2022/,https://www.boe.es/diario_boe/txt.php?id=BOE-A-2025-26262
53,IV,IV.13,COMPUESTO,"Internet, servicios e IoT",109 + 115 + 117,Buen material combinado; actualizar IoT.,Alta,https://drive.google.com/drive/folders/1ZKWNPMANbzf3bDFxLSjbkEPhiMn2yvl8,https://preparadorestic.es/2024/07/12/a2-2024-mapeo-temas-estrategia-de-estudio-y-analisis-oep-2022/,https://www.boe.es/diario_boe/txt.php?id=BOE-A-2025-26262
54,IV,IV.14,DIRECTO,"NGN, IMS, VoIP y comunicaciones unificadas",116,Correspondencia directa.,Media,https://drive.google.com/drive/folders/1ZKWNPMANbzf3bDFxLSjbkEPhiMn2yvl8,https://preparadorestic.es/2024/07/12/a2-2024-mapeo-temas-estrategia-de-estudio-y-analisis-oep-2022/,https://www.boe.es/diario_boe/txt.php?id=BOE-A-2025-26262
55,IV,IV.15,COMPUESTO,"Movilidad: generaciones, MDM, EMM y UEM",123 + 054 (+124),Cobertura parcial; actualizar gestión moderna de dispositivos.,Alta,https://drive.google.com/drive/folders/1ZKWNPMANbzf3bDFxLSjbkEPhiMn2yvl8,https://preparadorestic.es/2024/07/12/a2-2024-mapeo-temas-estrategia-de-estudio-y-analisis-oep-2022/,https://www.boe.es/diario_boe/txt.php?id=BOE-A-2025-26262
56,IV,IV.16,DIRECTO,"Videoconferencia, QoS, salas y equipamiento",130 (+129),Correspondencia alta.,Media,https://drive.google.com/drive/folders/1ZKWNPMANbzf3bDFxLSjbkEPhiMn2yvl8,https://preparadorestic.es/2024/07/12/a2-2024-mapeo-temas-estrategia-de-estudio-y-analisis-oep-2022/,https://www.boe.es/diario_boe/txt.php?id=BOE-A-2025-26262
,GSI A2 — Auditoría del material de Drive,Unnamed: 1,Unnamed: 2,Unnamed: 3
0,,,,
1,Clasificación,N.º temas,,
2,DIRECTO,18,,
3,COMPUESTO,31,,
4,COMPLEMENTAR,8,,
5,,,,
6,Bloque,N.º temas,Lectura,
7,I,10,Organización del Estado y Administración electrónica,
8,II,16,Tecnología básica,
9,III,15,Desarrollo de sistemas,
10,IV,16,Sistemas y comunicaciones,
11,,,,
12,Paquete original,Qué contiene,Uso para GSI A2,Recomendación
13,PUBLICADOS,Temario/banco A1 por temas,Fuente principal para construir teoría GSI,Usar por fragmentos según el mapa; no estudiar 132 temas completos
14,RELEASE,"Arquitectura, legislación, ENS, gestión, tecnologías y apoyo de práctico A1",Apoyo técnico y de arquitectura,"Muy útil para aprender a justificar soluciones, no como temario lineal"
15,RELEASE_VOLCADOS_PUBLICADO / SUPUESTOS,Supuestos 2023 y correcciones/volcados de PreparaTIC30,"Apoyo práctico A1, formato distinto al GSI actual","Usar para ideas, diagramas, ENS, servicios comunes y argumentación"
16,RELEASE_VOLCADOS_PUBLICADO / INFORMES,Informes asociados a supuestos A1,Apoyo para razonamiento y defensa,No tratarlos como simulacros del segundo ejercicio GSI
17,P30_ANÁLISIS (Pack 4),"Análisis, material transversal y 27 temas de práctico A1",Biblioteca de apoyo,Consultar cuando un supuesto GSI toque esa temática
18,,,,
19,Etiqueta,Significado,Qué hacer,Riesgo
20,DIRECTO,El material A1 coincide razonablemente con el núcleo del tema GSI,Estudiar esa fuente como base + actualizar,Bajo
21,COMPUESTO,El tema GSI se reparte entre varias fuentes A1,Crear un único apunte GSI fusionado,Medio
22,COMPLEMENTAR,El banco A1 no cubre suficientemente el alcance actual,Añadir fuente GSI/actual específica,Alto
23,Regla,La convocatoria BOE vigente manda sobre cualquier mapeo antiguo,"Si difieren, prevalece BOE 2025",—
,Fase,Objetivo,Material,Resultado esperado,Cuándo practicar test,Cuándo practicar supuesto
0,1. Mapa,Leer el BOE y este mapa de 57 temas,Mapa_57_temas + BOE,Saber qué entra y qué NO estudiar de A1,Desde el primer tema,—
1,2. Base directa,Completar primero los 18 temas DIRECTOS,PUBLICADOS / temas A1 señalados,Primer núcleo sólido de teoría,Al cerrar cada tema,Casos cortos desde Bloques II-III
2,3. Compuestos,Fusionar los 31 temas COMPUESTOS,Varias carpetas A1 + notas propias,Un apunte único por tema GSI,Test acumulativo semanal,1 supuesto parcial/semana
3,4. Carencias,Cubrir los 8 COMPLEMENTAR,Fuentes específicas y actualizadas,Cerrar huecos reales del temario,Test focalizado en carencias,Preguntas escritas de esos temas
4,5. Examen,Trabajar exámenes reales GSI,Tests GSI / INAP,Velocidad + estrategia de penalización,Simulacro completo,Simulacro 5 preguntas / 180 min
